"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"54","Dmitry Orlov","S.J","D","34","1991-07-23","Novokuznetsk","","RUS","RUS","71","214","2009","WSH","2","25","55"
"576","Domenick Fensore","CAR","D","24","2001-09-07","Bronxville","NY","USA","USA","67","151","2019","CAR","3","28","90"
"836","Dominic James","T.B","C","23","2002-07-03","","","USA","","69","148","2022","CHI","6","12","173"
"175","Dominic Toninato","CHI","C","32","1994-03-09","Duluth","MN","USA","USA","74","191","2012","TOR","5","5","126"
"423","Dominik Shine","DET","R","33","1993-04-18","Pinckney","MI","USA","USA","71","188","-","-","-","-","-"
"656","Donovan Sebrango","FLA, OTT","D","24","2002-01-12","Ottawa","ON","CAN","CAN","73","194","2020","DET","3","1","63"
"129","Dougie Hamilton","N.J","D","32","1993-06-17","Toronto","ON","CAN","CAN","78","230","2011","BOS","1","9","9"
"469","Drake Batherson","OTT","R","28","1998-04-27","Fort Wayne","IN","USA","USA","75","200","2017","OTT","4","28","121"
"26","Drew Doughty","L.A","D","36","1989-12-08","London","ON","CAN","CAN","73","210","2008","L.A","1","2","2"
"861","Drew Fortescue","NYR","D","21","2005-04-28","New York","","USA","","74","195","2023","NYR","3","26","90"
"577","Drew Helleson","ANA","D","25","2001-03-26","Farmington","MN","USA","USA","75","190","2019","COL","2","16","47"
"622","Drew O'Connor","VAN","L","28","1998-06-09","Chatham","NJ","USA","USA","75","200","-","-","-","-","-"
"292","Dryden Hunt","CGY","L","30","1995-11-24","Cranbrook","BC","CAN","CAN","72","193","-","-","-","-","-"
"414","Dylan Coghlan","VGK","D","28","1998-02-19","Duncan","BC","CAN","CAN","74","208","-","-","-","-","-"
"561","Dylan Cozens","OTT","C","25","2001-02-09","Whitehorse","YT","CAN","CAN","75","195","2019","BUF","1","7","7"
"104","Dylan DeMelo","WPG","D","33","1993-05-01","London","ON","CAN","CAN","72","195","2011","S.J","6","28","179"
"705","Dylan Duke","T.B","L","23","2003-03-04","","","USA","","70","177","2021","T.B","4","30","126"
"715","Dylan Guenther","UTA","R","23","2003-04-10","Edmonton","AB","CAN","CAN","74","175","2021","ARI","1","9","9"
"629","Dylan Holloway","STL","L","24","2001-09-23","Calgary","AB","CAN","CAN","73","203","2020","EDM","1","14","14"
"253","Dylan Larkin","DET","C","29","1996-07-30","Waterford","MI","USA","USA","73","198","2014","DET","1","15","15"
"92","Dylan McIlrath","WSH","D","34","1992-04-20","Winnipeg","MB","CAN","CAN","77","232","2010","NYR","1","10","10"
"453","Dylan Samberg","WPG","D","27","1999-01-24","Saginaw","MN","USA","USA","76","219","2017","WPG","2","12","43"
"314","Dylan Strome","WSH","C","29","1997-03-07","Mississauga","ON","CAN","CAN","75","200","2015","ARI","1","3","3"
"284","Dysin Mayo","CBJ","D","29","1996-08-17","Victoria","BC","CAN","CAN","74","183","2014","ARI","5","13","133"
"856","Easton Cowan","TOR","R","21","2005-05-20","","","CAN","","71","185","2023","TOR","1","28","28"
"440","Eeli Tolvanen","SEA","R","27","1999-04-22","Vihti","","FIN","FIN","70","191","2017","NSH","1","30","30"
"465","Eetu Luostarinen","FLA","C","27","1998-09-02","Siilinjarvi","","FIN","FIN","75","190","2017","CAR","2","11","42"
"547","Egor Zamula","CBJ, PHI","D","26","2000-03-30","Chelyabinsk","","RUS","RUS","75","177","-","-","-","-","-"
"222","Elias Lindholm","BOS","C","31","1994-12-02","Boden","","SWE","SWE","73","202","2013","CAR","1","5","5"
"441","Elias Pettersson","VAN","C","27","1998-11-12","Sundsvall","","SWE","SWE","74","176","2017","VAN","1","5","5"
"825","Elias Pettersson","VAN","D","22","2004-02-16","","","SWE","","74","185","2022","VAN","3","15","80"
"805","Elias Salomonsson","WPG","D","21","2004-08-31","","","SWE","","72","172","2022","WPG","2","23","55"
"615","Elmer Soderblom","DET, PIT","L","24","2001-07-05","Gothenburg","","SWE","SWE","80","246","2019","DET","6","4","159"
"655","Emil Andrae","PHI","D","24","2002-02-23","","","SWE","","69","189","2020","PHI","2","23","54"
"690","Emil Heineman","NYI","L","24","2001-11-16","Leksand","","SWE","SWE","72","194","2020","FLA","2","12","43"
"755","Emil Lilleberg","T.B","D","25","2001-02-02","","","NOR","","74","192","2021","ARI","4","11","107"
"895","Emmitt Finnie","DET","C","20","2005-06-27","","","CAN","","72","170","2023","DET","7","9","201"
"486","Eric Robinson","CAR","L","30","1995-06-14","BELLMAWR","NJ","USA","USA","74","205","-","-","-","-","-"
"306","Erik Cernak","T.B","D","29","1997-05-28","Kosice","","SVK","SVK","76","224","2015","L.A","2","13","43"
"89","Erik Gudbranson","CBJ","D","34","1992-01-07","Ottawa","ON","CAN","CAN","77","222","2010","FLA","1","3","3"
"178","Erik Gustafsson","DET","D","34","1992-03-14","Nynashamn","","SWE","SWE","72","197","2012","EDM","4","2","93"
"62","Erik Haula","NSH","L","35","1991-03-23","Pori","","FIN","FIN","71","191","2009","MIN","7","1","182"
"31","Erik Karlsson","PIT","D","36","1990-05-31","Landsbro","","SWE","SWE","72","190","2008","OTT","1","15","15"
"165","Esa Lindell","DAL","D","32","1994-05-23","Vantaa","","FIN","FIN","75","220","2012","DAL","3","13","74"
"681","Ethan Cardwell","S.J","R","23","2002-08-30","","","CAN","","71","180","2021","S.J","4","25","121"
"745","Ethan Del Mastro","CHI","D","23","2003-01-15","Burlington","ON","CAN","CAN","76","210","2021","CHI","4","9","105"
"819","Ethen Frank","WSH","C, R","28","1998-02-05","","","USA","","71","185","-","-","-","-","-"
"493","Evan Bouchard","EDM","D","26","1999-10-20","Oakville","ON","CAN","CAN","75","194","2018","EDM","1","10","10"
"339","Evan Rodrigues","FLA","C","32","1993-07-28","Toronto","ON","CAN","CAN","71","184","-","-","-","-","-"
"45","Evander Kane","VAN","L","34","1991-08-02","Vancouver","BC","CAN","CAN","74","210","2009","ATL","1","4","4"
"4","Evgeni Malkin","PIT","C","39","1986-07-31","Magnitogorsk","","RUS","RUS","75","195","2004","PIT","1","2","2"
"22","Evgenii Dadonov","N.J","L","37","1989-03-12","Chelyabinsk","","RUS","RUS","71","189","2007","FLA","3","10","71"
"466","Fabian Zetterlund","OTT","L","26","1999-08-25","Karlstad","","SWE","SWE","71","220","2017","N.J","3","1","63"
"737","Fedor Svechkov","NSH","C","23","2003-04-05","","","RUS","","72","187","2021","NSH","1","19","19"
"891","Felix Unger Sorum","CAR","R","20","2005-09-14","","","NOR","","71","170","2023","CAR","2","30","62"
"460","Filip Chytil","VAN","C","26","1999-09-05","Kromeriz","","CZE","CZE","74","204","2017","NYR","1","21","21"
"160","Filip Forsberg","NSH","L","31","1994-08-13","Ostervala","","SWE","SWE","73","205","2012","WSH","1","11","11"
"507","Filip Hallander","PIT","C","25","2000-06-29","Sundsvall","","SWE","SWE","73","190","2018","PIT","2","27","58"
"402","Filip Hronek","VAN","D","28","1997-11-02","Hradec Králové","","CZE","CZE","72","190","2016","DET","2","23","53"
"892","Florian Xhekaj","MTL","L","21","2004-06-27","","","CAN","","75","188","2023","MTL","4","5","101"
"797","Frank Nazar","CHI","C","22","2004-01-14","","","USA","","69","175","2022","CHI","1","13","13"
"294","Frank Vatrano","ANA","R","32","1994-03-14","East Longmeadow","MA","USA","USA","71","197","-","-","-","-","-"
"794","Fraser Minten","BOS","C","21","2004-07-05","","","CAN","","74","192","2022","TOR","2","6","38"
"243","Frederic Gaudreau","SEA","C","33","1993-05-01","Bromont","QC","CAN","CAN","72","184","-","-","-","-","-"
"869","Gabe Perreault","NYR","R","21","2005-05-07","","","CAN","","71","178","2023","NYR","1","23","23"
"122","Gabriel Landeskog","COL","L","33","1992-11-23","Stockholm","","SWE","SWE","73","215","2011","COL","1","2","2"
"442","Gabriel Vilardi","WPG","C","26","1999-08-16","Kingston","ON","CAN","CAN","75","215","2017","L.A","1","11","11"
"680","Gage Goncalves","T.B","C","25","2001-01-16","","","CAN","","72","181","2020","T.B","2","31","62"
"242","Garnet Hathaway","PHI","R","34","1991-11-23","Kennebunkport","ME","USA","USA","75","208","-","-","-","-","-"
"60","Garrett Wilson","PHI","L","35","1991-03-16","Barrie","ON","CAN","CAN","74","218","2009","FLA","4","16","107"
"852","Gavin Brindley","COL","C","21","2004-10-05","","","USA","","69","175","2023","CBJ","2","2","34"
"817","Georgii Merkulov","BOS","C","25","2000-10-10","Ryazan","","RUS","RUS","71","179","-","-","-","-","-"
"282","Gustav Forsling","FLA","D","29","1996-06-12","Linkoping","","SWE","SWE","72","186","2014","VAN","5","6","126"
"37","Gustav Nyquist","WPG","R","36","1989-09-01","Halmstad","","SWE","SWE","71","180","2008","DET","4","30","121"
"145","Hampus Lindholm","BOS","D","32","1994-01-20","Helsingborg","","SWE","SWE","76","215","2012","ANA","1","6","6"
"912","Harrison Brunicke","PIT","D","20","2006-05-08","","","","","75","184","2024","PIT","2","12","44"
"290","Hayden Hodgson","OTT","R","30","1996-03-02","Windsor","ON","CAN","CAN","74","208","-","-","-","-","-"
"249","Haydn Fleury","WPG","D","29","1996-07-08","Carlyle","SK","CAN","CAN","76","208","2014","CAR","1","7","7"
"661","Hendrix Lapierre","WSH","C","24","2002-02-09","Gatineau","QC","CAN","CAN","72","180","2020","WSH","1","22","22"
"449","Henri Jokiharju","BOS","D","26","1999-06-17","Oulu","","FIN","FIN","72","200","2017","CHI","1","29","29"
"579","Henry Thrun","TOR","D","25","2001-03-12","Southborough","MA","USA","USA","74","190","2019","ANA","4","8","101"
"540","Hugh McGing","STL","L","27","1998-07-11","Chicago","IL","USA","USA","68","176","2018","STL","5","14","138"
"853","Hunter Brzustewicz","CGY","D","21","2004-11-29","","","USA","","72","190","2023","VAN","3","11","75"
"778","Hunter Haight","MIN","C","22","2004-04-04","","","CAN","","70","173","2022","MIN","2","15","47"
"838","Hunter McDonald","PHI","D","24","2002-05-11","","","USA","","76","205","2022","PHI","6","4","165"
"611","Hunter Skinner","STL","D","25","2001-04-29","Wyndotte","MI","USA","USA","75","205","2019","NYR","4","19","112"
"17","Ian Cole","UTA","D","37","1989-02-21","Ann Arbor","MI","USA","USA","73","225","2007","STL","1","18","18"
"677","Ian Moore","ANA","D","24","2002-01-04","Salt Lake City","UT","USA","USA","74","171","2020","ANA","3","5","67"
"921","Igor Chernyshov","S.J","L","20","2005-11-30","","","RUS","","75","204","2024","S.J","2","1","33"
"524","Ilya Lyubushkin","DAL","D","32","1994-04-06","Moscow","","RUS","RUS","74","200","-","-","-","-","-"
"604","Ilya Mikheyev","CHI","R","31","1994-10-10","Omsk","","RUS","RUS","74","192","-","-","-","-","-"
"922","Ilya Protas","WSH","L","19","2006-07-18","Vitebsk","","BLR","","78","225","2024","WSH","3","10","75"
"688","Ilya Solovyov","COL, PIT","D","25","2000-07-20","Mogilev","","BLR","BLR","75","208","2020","CGY","7","19","205"
"779","Isaac Howard","EDM","L","22","2004-03-30","","","USA","","70","180","2022","T.B","1","31","31"
"679","Isaak Phillips","WPG","D","24","2001-09-28","Barrie","ON","CAN","CAN","75","205","2020","CHI","5","17","141"
"494","Isac Lundeström","CBJ","C","26","1999-11-06","Gallivare","","SWE","SWE","72","193","2018","ANA","1","23","23"
"776","Isaiah George","NYI","D","22","2004-02-15","","","CAN","","73","196","2022","NYI","4","1","98"
"735","Isak Rosen","BUF, WPG","R","23","2003-03-15","Solna","","SWE","SWE","71","156","2021","BUF","1","14","14"
"264","Ivan Barbashev","VGK","L","30","1995-12-14","Moscow","","RUS","RUS","73","195","2014","STL","2","3","33"
"920","Ivan Demidov","MTL","R","20","2005-12-10","","","RUS","","73","192","2024","MTL","1","5","5"
"845","Ivan Ivan","COL","C","23","2002-08-20","","","CZE","","72","190","-","-","-","-","-"
"796","Ivan Miroshnichenko","WSH","L","22","2004-02-04","","","RUS","","73","185","2022","WSH","1","20","20"
"334","Ivan Provorov","CBJ","D","29","1997-01-13","Yaroslavl","","RUS","RUS","73","201","2015","PHI","1","7","7"
"702","J.J. Moser","T.B","D","26","2000-06-06","Biel","","CHE","CHE","73","173","2021","ARI","2","28","60"
"213","J.T. Compher","DET","L","31","1995-04-08","Northbrook","IL","USA","USA","72","190","2013","BUF","2","5","35"
"132","J.T. Miller","NYR","C","33","1993-03-14","East Palestine","OH","USA","USA","73","218","2011","NYR","1","15","15"
"176","Jaccob Slavin","CAR","D","32","1994-05-01","Denver","CO","USA","USA","75","207","2012","CAR","4","29","120"
"626","Jack Ahcan","COL","D","29","1997-05-18","Savage","MN","USA","USA","68","180","-","-","-","-","-"
"771","Jack Devine","FLA","R","22","2003-10-01","","","USA","","71","173","2022","FLA","7","28","221"
"504","Jack Drury","COL","C","26","2000-02-03","New York","NY","USA","USA","71","174","2018","CAR","2","11","42"
"301","Jack Eichel","VGK","C","29","1996-10-28","North Chelmsford","MA","USA","USA","74","207","2015","BUF","1","2","2"
"635","Jack Finley","STL, T.B","C","23","2002-09-02","","","USA","","78","220","2020","T.B","2","26","57"
"574","Jack Hughes","N.J","C","25","2001-05-14","Orlando","FL","USA","USA","71","175","2019","N.J","1","1","1"
"511","Jack McBain","UTA","C","26","2000-01-06","Toronto","ON","CAN","CAN","75","201","2018","MIN","3","1","63"
"640","Jack Quinn","BUF","R","24","2001-09-19","Ottawa","ON","CAN","CAN","73","185","2020","BUF","1","8","8"
"322","Jack Roslovic","EDM","C","29","1997-01-29","Columbus","OH","USA","USA","73","200","2015","WPG","1","25","25"
"534","Jack St. Ivany","PIT","D","26","1999-07-22","Manhattan Beach","CA","USA","USA","75","198","2018","PHI","4","19","112"
"445","Jack Studnicka","FLA","C","27","1999-02-18","Windsor","ON","CAN","CAN","73","187","2017","BOS","2","22","53"
"746","Jackson Blake","CAR","R","22","2003-08-03","","","USA","","70","152","2021","CAR","4","13","109"
"598","Jackson LaCombe","ANA","D","25","2001-01-09","Eden Prairie","MN","USA","USA","73","171","2019","ANA","2","8","39"
"520","Jacob Bernard-Docker","DET","D","25","2000-06-30","Canmore","AB","CAN","CAN","72","190","2018","OTT","1","26","26"
"468","Jacob Bryson","BUF, WPG","D","28","1997-11-18","London","ON","CAN","CAN","69","176","2017","BUF","4","6","99"
"621","Jacob Gaucher","PHI","C","25","2001-03-09","","","CAN","","75","185","-","-","-","-","-"
"751","Jacob Melanson","SEA","R","23","2003-04-22","Halifax","NS","CAN","CAN","71","190","2021","SEA","5","3","131"
"401","Jacob Moverare","L.A","D","27","1998-08-31","Ostersund","","SWE","SWE","75","210","2016","L.A","4","21","112"
"915","Jacob Quillan","TOR","C","24","2002-02-02","","","CAN","","72","201","-","-","-","-","-"
"159","Jacob Trouba","ANA","D","32","1994-02-26","Rochester","MI","USA","USA","75","203","2012","WPG","1","9","9"
"86","Jaden Schwartz","SEA","L","33","1992-06-25","Wilcox","SK","CAN","CAN","70","185","2010","STL","1","14","14"
"396","Jake Bean","CGY","D","28","1998-06-09","Calgary","AB","CAN","CAN","73","196","2016","CAR","1","13","13"
"545","Jake Christiansen","CBJ","D","26","1999-09-12","West Vancouver","BC","CAN","CAN","72","193","-","-","-","-","-"
"333","Jake DeBrusk","VAN","L","29","1996-10-17","Edmonton","AB","CAN","CAN","72","197","2015","BOS","1","14","14"
"287","Jake Evans","MTL","C","30","1996-06-02","Toronto","ON","CAN","CAN","72","186","2014","MTL","7","27","207"
"197","Jake Guentzel","T.B","C","31","1994-10-06","Omaha","NE","USA","USA","71","180","2013","PIT","3","16","77"
"940","Jake Livanavage","PIT","D","22","2004-05-06","","","USA","","71","190","-","-","-","-","-"
"174","Jake McCabe","TOR","D","32","1993-10-12","Eau Claire","WI","USA","USA","73","204","2012","BUF","2","14","44"
"288","Jake Middleton","MIN","D","30","1996-01-02","Wainwright","AB","CAN","CAN","75","219","2014","L.A","7","30","210"
"634","Jake Neighbours","STL","L","24","2002-03-29","Calgary","AB","CAN","CAN","72","201","2020","STL","1","26","26"
"643","Jake Sanderson","OTT","D","23","2002-07-08","Whitefish","MT","USA","USA","75","195","2020","OTT","1","5","5"
"275","Jake Walman","EDM","D","30","1996-02-20","Toronto","ON","CAN","CAN","74","215","2014","STL","3","22","82"
"375","Jakob Chychrun","WSH","D","28","1998-03-31","Boca Raton","FL","USA","USA","74","220","2016","ARI","1","16","16"
"589","Jakob Pelletier","T.B","L","25","2001-03-07","Québec","QC","CAN","CAN","69","170","2019","CGY","1","26","26"
"358","Jalen Chatfield","CAR","D","30","1996-05-15","Ypsilanti","MI","USA","USA","73","188","-","-","-","-","-"
"928","James Hagens","BOS","C","19","2006-11-03","Hauppauge","","USA","","71","177","2025","BOS","1","7","7"
"18","James van Riemsdyk","DET","L","37","1989-05-04","Middletown","NJ","USA","USA","75","208","2007","PHI","1","2","2"
"16","Jamie Benn","DAL","L","36","1989-07-18","Victoria","BC","CAN","CAN","74","205","2007","DAL","5","8","129"
"658","Jamie Drysdale","PHI","D","24","2002-04-08","Toronto","ON","CAN","CAN","71","183","2020","ANA","1","6","6"
"131","Jamie Oleksiak","SEA","D","33","1992-12-21","Toronto","ON","CAN","CAN","79","257","2011","DAL","1","14","14"
"799","Jani Nyman","SEA","R","21","2004-07-30","","","FIN","","74","212","2022","SEA","2","17","49"
"309","Jansen Harkins","ANA","C","29","1997-05-23","Cleveland","OH","USA","USA","73","182","2015","WPG","2","17","47"
"833","Jared Davidson","MTL","C","23","2002-07-07","","","CAN","","71","188","2022","MTL","5","1","130"
"261","Jared McCann","SEA","L","30","1996-05-31","Stratford","ON","CAN","CAN","73","191","2014","VAN","1","24","24"
"38","Jared Spurgeon","MIN","D","36","1989-11-29","Edmonton","AB","CAN","CAN","69","166","2008","NYI","6","5","156"
"837","Jared Wright","L.A","R","23","2002-11-22","Burnsville","","USA","","73","178","2022","L.A","6","8","169"
"752","Jaroslav Chmelar","NYR","R","22","2003-07-20","","","CZE","","76","198","2021","NYR","5","16","144"
"210","Jason Dickinson","CHI, EDM","C","30","1995-07-04","Georgetown","ON","CAN","CAN","74","200","2013","DAL","1","29","29"
"880","Jason Polin","COL","R","26","1999-06-17","","","USA","","72","198","-","-","-","-","-"
"447","Jason Robertson","DAL","L","26","1999-07-22","Arcadia","CA","USA","USA","75","200","2017","DAL","2","8","39"
"74","Jason Zucker","BUF","L","34","1992-01-16","Newport Beach","CA","USA","USA","71","192","2010","MIN","2","29","59"
"185","Jaycob Megna","VGK","D","33","1992-12-10","Plantation","FL","USA","USA","78","220","2012","ANA","7","29","210"
"590","Jayden Struble","MTL","D","24","2001-09-08","","","USA","","72","202","2019","MTL","2","15","46"
"112","Jean-Gabriel Pageau","NYI","C","33","1992-11-11","Ottawa","ON","CAN","CAN","71","185","2011","OTT","4","5","96"
"685","Jeff Malott","L.A","L","29","1996-08-07","Burlington","ON","CAN","CAN","75","201","-","-","-","-","-"
"11","Jeff Petry","FLA, MIN","D","38","1987-12-09","Ann Arbor","MI","USA","USA","75","209","2006","EDM","2","15","45"
"87","Jeff Skinner","S.J","L","34","1992-05-16","Toronto","ON","CAN","CAN","71","197","2010","CAR","1","7","7"
"419","Jeffrey Viel","ANA, BOS","L","29","1997-01-28","Rimouski","QC","CAN","CAN","74","205","-","-","-","-","-"
"326","Jeremy Lauzon","VGK","D","29","1997-04-28","Val D'or","QC","CAN","CAN","73","204","2015","BOS","2","22","52"
"438","Jesper Boqvist","FLA","C","27","1998-10-30","Falun","","SWE","SWE","72","180","2017","N.J","2","5","36"
"397","Jesper Bratt","N.J","L","27","1998-07-30","Stockholm","","SWE","SWE","70","175","2016","N.J","6","11","162"
"500","Jesperi Kotkaniemi","CAR","C","25","2000-07-06","Pori","","FIN","FIN","74","201","2018","MTL","1","3","3"
"901","Jett Luchanko","PHI","C","19","2006-08-21","","","CAN","","71","180","2024","PHI","1","13","13"
"809","Jimmy Snuggerud","STL","R","22","2004-06-01","","","USA","","73","186","2022","STL","1","23","23"
"787","Jiri Kulich","BUF","C","22","2004-04-14","Kadan","","CZE","CZE","71","172","2022","BUF","1","28","28"
"674","JJ Peterka","UTA","R","24","2002-01-14","Munich","","DEU","DEU","72","189","2020","BUF","2","3","34"
"784","Joakim Kemell","NSH","R","22","2004-04-27","","","FIN","","71","182","2022","NSH","1","17","17"
"496","Joe Veleno","MTL","C","26","2000-01-13","Montreal","QC","CAN","CAN","73","203","2018","DET","1","30","30"
"133","Joel Armia","L.A","R","33","1993-05-31","Pori","","FIN","FIN","75","216","2011","BUF","1","16","16"
"118","Joel Edmundson","L.A","D","32","1993-06-28","Brandon","MB","CAN","CAN","77","221","2011","STL","2","16","46"
"332","Joel Eriksson Ek","MIN","C","29","1997-01-29","Karlstad","","SWE","SWE","75","207","2015","MIN","1","20","20"
"488","Joel Farabee","CGY","L","26","2000-02-25","Syracuse","NY","USA","USA","72","183","2018","PHI","1","14","14"
"238","Joel Hanley","CGY","D","35","1991-06-08","Keswick","ON","CAN","CAN","71","190","-","-","-","-","-"
"605","Joel Kiviranta","COL","L","30","1996-03-23","Vantaa","","FIN","FIN","71","185","-","-","-","-","-"
"754","Joel Nystrom","CAR","D","24","2002-05-14","","","SWE","","71","170","2021","CAR","7","27","219"
"572","John Beecher","BOS, CGY","C","25","2001-04-05","Elmira","NY","USA","USA","75","215","2019","BOS","1","30","30"
"33","John Carlson","ANA, WSH","D","36","1990-01-10","Natick","MA","USA","USA","75","215","2008","WSH","1","27","27"
"195","John Hayden","SEA","C","31","1995-02-14","Chicago","IL","USA","USA","75","223","2013","CHI","3","13","74"
"99","John Klingberg","S.J","D","33","1992-08-14","Gothenburg","","SWE","SWE","75","190","2010","DAL","5","11","131"
"541","John Leonard","DET","L","27","1998-08-07","Westwood","NJ","USA","USA","71","196","2018","S.J","6","27","182"
"336","John Marino","UTA","D","29","1997-05-21","Brockton","MA","USA","USA","73","181","2015","EDM","6","3","154"
"42","John Tavares","TOR","C","35","1990-09-20","Mississauga","ON","CAN","CAN","73","216","2009","NYI","1","1","1"
"467","Johnathan Kovacevic","N.J","D","28","1997-07-12","Niagara Falls","ON","CAN","CAN","76","208","2017","WPG","3","12","74"
"427","Jonah Gadjovich","FLA","L","27","1998-10-12","Whitby","ON","CAN","CAN","74","209","2017","VAN","2","24","55"
"130","Jonas Brodin","MIN","D","32","1993-07-12","Karlstad","","SWE","SWE","74","196","2011","MIN","1","10","10"
"439","Jonas Rondbjerg","VGK","R","27","1999-03-31","Horsholm","","DNK","DNK","74","203","2017","VGK","3","3","65"
"298","Jonas Siegenthaler","N.J","D","29","1997-05-06","Zurich","","CHE","CHE","74","218","2015","WSH","2","27","57"
"530","Jonatan Berggren","DET, STL","R","25","2000-07-16","Uppsala","","SWE","SWE","71","197","2018","DET","2","2","33"
"549","Jonathan Aspirot","BOS","D","27","1999-05-16","Mascouche","QC","CAN","CAN","72","200","-","-","-","-","-"
"220","Jonathan Drouin","NYI, STL","L","31","1995-03-28","Ste-Agathe","QC","CAN","CAN","71","198","2013","T.B","1","3","3"
"123","Jonathan Huberdeau","CGY","L","33","1993-06-04","Saint-Jerome","QC","CAN","CAN","73","200","2011","FLA","1","3","3"
"790","Jonathan Lekkerimäki","VAN","R","21","2004-07-24","","","SWE","","71","172","2022","VAN","1","15","15"
"140","Jonathan Marchessault","NSH","R","35","1990-12-27","Cap-Rouge","QC","CAN","CAN","69","183","-","-","-","-","-"
"14","Jonathan Toews","WPG","C","38","1988-04-29","Winnipeg","MB","CAN","CAN","74","201","2006","CHI","1","3","3"
"194","Jonny Brodzinski","NYR","C","32","1993-06-19","Ham Lake","MN","USA","USA","72","212","2013","L.A","5","27","148"
"406","Joona Koppanen","PIT","L","28","1998-02-25","Tampere","","FIN","FIN","77","216","2016","BOS","5","14","135"
"32","Jordan Eberle","SEA","R","36","1990-05-15","Regina","SK","CAN","CAN","71","190","2008","EDM","1","22","22"
"304","Jordan Greenway","BUF","L","29","1997-02-16","Canton","NY","USA","USA","78","231","2015","MIN","2","20","50"
"521","Jordan Harris","BOS","D","25","2000-07-07","Haverhill","MA","USA","USA","71","189","2018","MTL","3","9","71"
"388","Jordan Kyrou","STL","R","28","1998-05-05","Toronto","ON","CAN","CAN","73","196","2016","STL","2","5","35"
"170","Jordan Martinook","CAR","L","33","1992-07-25","Brandon","MB","CAN","CAN","72","196","2012","PHX","2","28","58"
"241","Jordan Oesterle","NSH","D","33","1992-06-25","Dearborn Heights","MI","USA","USA","72","187","-","-","-","-","-"
"599","Jordan Spence","OTT","D","25","2001-02-24","Manly","","AUS","AUS","70","180","2019","L.A","4","2","95"
"13","Jordan Staal","CAR","C","37","1988-09-10","Thunder Bay","ON","CAN","CAN","76","220","2006","PIT","1","2","2"
"772","Jorian Donovan","OTT","D","22","2004-04-05","","","CAN","","73","182","2022","OTT","5","7","136"
"114","Joseph LaBate","VAN","C","33","1993-04-16","Burnsville","MN","USA","USA","77","210","2011","VAN","4","10","101"
"179","Josh Anderson","MTL","R","32","1994-05-07","Burlington","ON","CAN","CAN","75","218","2012","CBJ","4","4","95"
"703","Josh Doan","BUF","R","24","2002-02-01","","","USA","","73","183","2021","ARI","2","5","37"
"697","Josh Dunne","BUF","C","27","1998-12-08","O'Fallon","MO","USA","USA","76","211","-","-","-","-","-"
"103","Josh Manson","COL","D","34","1991-10-07","Hinsdale","IL","USA","CAN","75","218","2011","ANA","6","9","160"
"229","Josh Morrissey","WPG","D","31","1995-03-28","Calgary","AB","CAN","CAN","72","185","2013","WPG","1","13","13"
"455","Josh Norris","BUF","C","27","1999-05-05","Oxford","MI","USA","USA","74","195","2017","S.J","1","19","19"
"896","Josh Samanski","EDM","C","24","2002-03-22","","","GER","","75","201","-","-","-","-","-"
"385","Joshua Mahura","SEA","D","28","1998-05-05","St. Albert","AB","CAN","CAN","72","185","2016","ANA","3","24","85"
"731","Joshua Roy","MTL","R","22","2003-08-06","Saint-Georges-De-Beauce","QC","CAN","CAN","72","193","2021","MTL","5","22","150"
"528","Josiah Slavin","CAR","L","27","1998-12-31","Erie","CO","USA","USA","75","189","2018","CHI","7","7","193"
"272","Juho Lammikko","N.J","C","30","1996-01-29","Noormarkku","","FIN","FIN","74","191","2014","FLA","3","5","65"
"808","Juraj Slafkovský","MTL","L","22","2004-03-30","Kosice","","SVK","SVK","75","238","2022","MTL","1","1","1"
"647","Justin Barron","NSH","D","24","2001-11-15","Halifax","NS","CAN","CAN","74","201","2020","COL","1","25","25"
"413","Justin Brazeau","PIT","R","28","1998-02-02","New Liskeard","ON","CAN","","77","220","-","-","-","-","-"
"422","Justin Danforth","BUF","R","33","1993-03-15","Oshawa","ON","CAN","CAN","69","190","-","-","-","-","-"
"66","Justin Dowling","NYR","C","35","1990-10-01","Calgary","AB","CAN","CAN","70","180","-","-","-","-","-"
"78","Justin Faulk","DET, STL","D","34","1992-03-20","South St.Paul","MN","USA","USA","72","214","2010","CAR","2","7","37"
"73","Justin Holl","STL","D","34","1992-01-30","Tonka Bay","MN","USA","USA","75","197","2010","CHI","2","24","54"
"911","Justin Hryckowian","DAL","C","25","2001-02-23","","","CAN","","70","194","-","-","-","-","-"
"271","Justin Kirkland","CGY","C","29","1996-08-02","Winnipeg","MB","CAN","CAN","75","183","2014","NSH","3","2","62"
"740","Justin Robidas","CAR","C","23","2003-03-13","Plano","TX","USA","USA","68","173","2021","CAR","5","19","147"
"633","Justin Sourdif","WSH","C, R","24","2002-03-24","","","CAN","","71","180","2020","FLA","3","25","87"
"608","Juuso Parssinen","NYR","C","25","2001-02-01","Hameenlinna","","FIN","FIN","75","212","2019","NSH","7","24","210"
"497","K'Andre Miller","CAR","D","26","2000-01-21","St. Paul","MN","USA","USA","77","215","2018","NYR","1","22","22"
"571","Kaapo Kakko","SEA","R","25","2001-02-13","Turku","","FIN","FIN","74","206","2019","NYR","1","2","2"
